,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len,sentimentr,sentimentr_stdscaler,sentimentr_medianiqr,sentimentr_lnorm_stdscaler,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,sentiword,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,senticnet,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,nrc,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,afinn,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,scores,vader,vader_stdscaler,vader_medianiqr,vader_lnorm_stdscaler,vader_lnorm_medianiqr,textblob,textblob_stdscaler,textblob_medianiqr,textblob_lnorm_stdscaler,textblob_lnorm_medianiqr,pattern,pattern_stdscaler,pattern_medianiqr,pattern_lnorm_stdscaler,pattern_lnorm_medianiqr,stanza,stanza_stdscaler,stanza_medianiqr,stanza_lnorm_stdscaler,stanza_lnorm_medianiqr,flair,flair_stdscaler,flair_medianiqr,flair_lnorm_stdscaler,flair_lnorm_medianiqr
0,0,0,0,"The Nellie, a cruising yawl, swung to her anchor without a flutter of the sails, and was at rest.",the nellie  a cruising yawl  swung to her anchor without a flutter of the sails  and was at rest ,97,19,0.6,0.551487845017257,0.5,0.551487845017257,0.5344129554655871,0.6,0.5632102688115957,0.5454545454545454,0.5632102688115957,0.5660575493813922,25.3521478030654,0.8165942518877358,0.9930991030817745,0.8165942518877358,1.332307005683836,0.0,0.002101307649919007,0.0,0.002101307649919007,0.0,-1.133,-0.9341744024107148,-0.8808038808038807,-0.9341744024107148,-0.7628943395860123,15.45065030024801,1.3182424554165226,1.025686775901999,1.3182424554165226,1.7545625101185114,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.010868861901922317,0.0,0.010868861901922317,0.0,0.0,-0.20361635001853773,0.0,-0.20361635001853773,0.0,0.0,-0.05515174558744214,0.0,-0.05515174558744214,0.0,6.240887115826559,-0.11955520259954389,0.15460752525586152,-0.11955520259954389,-0.1725408015688878,0.9518,1.4273716234574902,1.0162212182243755,1.4273716234574902,0.7702570407061228
1,1,0,0,"The flood had made, the wind was nearly calm, and being bound down the river, the only thing for it was to come to and wait for the turn of the tide.",the flood had made  the wind was nearly calm  and being bound down the river  the only thing for it was to come to and wait for the turn of the tide ,149,32,0.25,0.28694828065678235,0.20833333333333334,0.28694828065678235,0.13221153846153846,0.25,0.29118239733010004,0.22727272727272727,0.29118239733010004,0.14004027914383402,22.392725897047892,0.7376911897526769,0.8771720714418287,0.7376911897526769,0.6987151179879049,0.30208333333333304,0.3656880050760735,0.4027777777777774,0.3656880050760735,0.21662474849094548,1.1280000000000001,0.5155828901752267,0.6860706860706861,0.5155828901752267,0.26836658720346457,-7.426255848312643,-0.5947819476557086,-0.4929897622468934,-0.5947819476557086,-0.5007207769718892,0.5608940354863774,0.6147828991365731,0.8506463569312387,0.6147828991365731,0.7977739731406268,"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.3182}",0.3182,0.7601450380575419,0.5590302178496135,0.7601450380575419,0.4988366476047305,0.048148148148148155,-0.0002446068924678963,0.38518518518518524,-0.0002446068924678963,0.3214241562615898,0.07032883144186615,-0.008300477144680954,0.6275562535396405,-0.008300477144680954,0.5244002229679278,9.254751585525227,0.3602693985645676,0.8490447187905955,0.3602693985645676,-0.41749873214032085,0.8828,1.3487282659601183,0.97866202166458,1.3487282659601183,0.5621659881691619
2,2,1,0,The sea-reach of the Thames stretched before us like the beginning of an interminable waterway.,the sea reach of the thames stretched before us like the beginning of an interminable waterway ,95,15,0.5,0.47590511234283567,0.4166666666666667,0.47590511234283567,0.5641025641025641,0.5,0.48548801981688267,0.45454545454545453,0.48548801981688267,0.5975051910136918,26.50699754534338,0.8473844480359553,1.0383370944409054,0.8473844480359553,1.7644625017416147,0.5,0.6038999792518305,0.6666666666666666,0.6038999792518305,0.7649094567404428,0.29499999999999993,-0.018538217619593882,0.10880110880110874,-0.018538217619593882,0.09899247945682686,7.829266421604793,0.6809231758624956,0.5197434980147534,0.6809231758624956,1.126173999085258,1.0443541662521307,1.1350987201526062,1.5838572184102186,1.1350987201526062,3.168878330627123,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.3818}",0.3818,0.9099060839516254,0.6707659873506676,0.9099060839516254,1.2768880422743674,-0.05,-0.414810083264841,-0.4,-0.414810083264841,-0.7120781307949066,-0.017968878979626443,-0.06712215310638198,-0.16033939625575486,-0.06712215310638198,-0.28583089505574105,5.56988888667803,-0.22638198957686545,0.0,-0.22638198957686545,0.0948896454571991,-0.9222,-0.7085363758189587,-0.0038647868923847345,-0.7085363758189587,-0.261309143489965
3,3,1,0,"In the offing the sea and the sky were welded together without a joint, and in the luminous space the tanned sails of the barges drifting up with the tide seemed to stand still in red clusters of canvas sharply peaked, with gleams of varnished sprits.",in the offing the sea and the sky were welded together without a joint  and in the luminous space the tanned sails of the barges drifting up with the tide seemed to stand still in red clusters of canvas sharply peaked  with gleams of varnished sprits ,251,46,0.5,0.47590511234283567,0.4166666666666667,0.47590511234283567,0.18394648829431437,0.5,0.48548801981688267,0.45454545454545453,0.48548801981688267,0.19483864924359515,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,-0.20089285714285698,-0.23969280147584884,-0.2678571428571426,-0.23969280147584884,-0.1002162040566379,2.02,1.0875349047646383,1.3042273042273043,1.0875349047646383,0.36252457177035835,14.462736740774643,1.235630640028304,0.9601044312113136,1.235630640028304,0.6783726539901824,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.010868861901922317,0.0,0.010868861901922317,0.0,-0.0625,-0.46760851657641683,-0.5,-0.46760851657641683,-0.29024923809574993,-0.03256360443419584,-0.07684478586028526,-0.29057064053968756,-0.07684478586028526,-0.1689095027591008,11.963423294883173,0.7915055525768724,1.473161164292715,0.7915055525768724,-0.5993077772279237,-0.5012,-0.22869791920455895,0.2253007457405694,-0.22869791920455895,0.2063693305435267
4,4,1,0,A haze rested on the low shores that ran out to sea in vanishing flatness.,a haze rested on the low shores that ran out to sea in vanishing flatness ,74,15,-0.85,-0.5444617787618522,-0.7083333333333334,-0.5444617787618522,-0.9589743589743589,-0.85,-0.5637623416117434,-0.7727272727272726,-0.5637623416117434,-1.015758824723276,-26.968351175578803,-0.5783564219094415,-1.0564093256360438,-0.5783564219094415,-1.7951729275150452,-0.4375,-0.5244725300017536,-0.5833333333333334,-0.5244725300017536,-0.6692957746478875,-1.567,-1.2124559879844867,-1.1815661815661815,-1.2124559879844867,-1.250203621609437,0.0,0.026220235463961118,0.0,0.026220235463961118,0.0,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.2732}",-0.2732,-0.6324443100833551,-0.47997189037245264,-0.6324443100833551,-0.9136873052628529,0.0,-0.20361635001853773,0.0,-0.20361635001853773,0.0,0.0,-0.05515174558744214,0.0,-0.05515174558744214,0.0,4.985665852592218,-0.3193936651646331,-0.13461328744801251,-0.3193936651646331,-0.14814294375407144,-0.9996,-0.7967537072725324,-0.04599640738119864,-0.7967537072725324,-0.3090160138900671
5,5,1,0,"The air was dark above Gravesend, and farther back still seemed condensed into a mournful gloom, brooding motionless over the biggest, and the greatest, town on earth.",the air was dark above gravesend  and farther back still seemed condensed into a mournful gloom  brooding motionless over the biggest  and the greatest  town on earth ,167,27,-3.0500000000000003,-2.2072818975991213,-2.541666666666667,-2.2072818975991213,-1.911680911680912,-3.0500000000000003,-2.2736518194954303,-2.772727272727273,-2.2736518194954303,-2.0248787028797333,-69.83505411345797,-1.7212533230086733,-2.735591877361831,-1.7212533230086733,-2.582574533793877,0.08035714285714302,0.09881895130022642,0.10714285714285736,0.09881895130022642,0.06829548720896823,-1.3190000000000002,-1.0534379390851887,-1.00970200970201,-1.0534379390851887,-0.6457302759354002,-15.042302490291014,-1.2316549140623843,-0.9985787292824525,-1.2316549140623843,-1.2020602526406343,-0.5889564425258378,-0.6227243066075254,-0.8932055264081233,-0.6227243066075254,-0.9928152349041711,"{'neg': 0.185, 'neu': 0.657, 'pos': 0.158, 'compound': -0.2263}",-0.2263,-0.5220073124035985,-0.39757554462403377,-0.5220073124035985,-0.4204641231108337,0.14333333333333334,0.40180568528753163,1.1466666666666667,0.40180568528753163,1.1340503564511475,0.2167882735039135,0.0892670566156089,1.934439033640126,0.0892670566156089,1.9158057267131932,7.950911974098811,0.15269061463962214,0.548621547914267,0.15269061463962214,-0.38463175768118635,-0.9991,-0.7961838278703774,-0.0457242392901856,-0.7961838278703774,-0.03501311727254123
6,6,2,0,The Director of Companies was our captain and our host.,the director of companies was our captain and our host ,55,10,0.25,0.28694828065678235,0.20833333333333334,0.28694828065678235,0.42307692307692313,0.25,0.29118239733010004,0.22727272727272727,0.29118239733010004,0.44812889326026883,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,-0.25,-0.2987980281510368,-0.3333333333333333,-0.2987980281510368,-0.5736820925553321,0.17099999999999999,-0.098047242069243,0.02286902286902285,-0.098047242069243,0.07109556759267481,16.256745918700776,1.3856501974991104,1.0791991912303216,1.3856501974991104,3.5075938620869334,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.010868861901922317,0.0,0.010868861901922317,0.0,0.0,-0.20361635001853773,0.0,-0.20361635001853773,0.0,0.0,-0.05515174558744214,0.0,-0.05515174558744214,0.0,4.1621834869283365,-0.45049680588079694,-0.32435532418735696,-0.45049680588079694,0.3750135315489639,0.9951,1.476723179684102,1.039790974906102,1.476723179684102,1.2271267219581818
7,7,2,0,We four affectionately watched his back as he stood in the bows looking to seaward.,we four affectionately watched his back as he stood in the bows looking to seaward ,83,15,0.0,0.09799144897072905,0.0,0.09799144897072905,0.0,0.0,0.09687677484331744,0.0,0.09687677484331744,0.0,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,0.875,1.055248982953264,1.1666666666666667,1.055248982953264,1.338591549295775,1.314,0.6348464268497005,0.814968814968815,0.6348464268497005,0.8373548999651637,0.0,0.026220235463961118,0.0,0.026220235463961118,0.0,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}",0.4939,1.173871701007078,0.8677090653548841,1.173871701007078,1.6517941437383712,0.0,-0.20361635001853773,0.0,-0.20361635001853773,0.0,0.0,-0.05515174558744214,0.0,-0.05515174558744214,0.0,5.341784842063091,-0.26269746870065863,-0.052558412685411095,-0.26269746870065863,0.0,0.9858,1.4661234228040214,1.03472864841326,1.4661234228040214,0.9147206849776683
8,8,2,0,On the whole river there was nothing that looked half so nautical.,on the whole river there was nothing that looked half so nautical ,66,12,0.0,0.09799144897072905,0.0,0.09799144897072905,0.0,0.0,0.09687677484331744,0.0,0.09687677484331744,0.0,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,0.625,0.7543496471523085,0.8333333333333334,0.7543496471523085,1.195171026156942,-0.19100000000000003,-0.33016229731741237,-0.22799722799722805,-0.33016229731741237,-0.2877601622961905,0.0,0.026220235463961118,0.0,0.026220235463961118,0.0,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.010868861901922317,0.0,0.010868861901922317,0.0,0.016666666666666677,-0.1332184389364366,0.13333333333333341,-0.1332184389364366,0.2966992211645446,0.013360553324175791,-0.04625128673576616,0.11921851419167942,-0.04625128673576616,0.2656578437237959,4.255472823709962,-0.4356446055698177,-0.3028601355772913,-0.4356446055698177,-0.009336464889834901,-0.9821,-0.7768079281971119,-0.036470524195743266,-0.7768079281971119,-0.4495632893808071
9,9,2,0,"He resembled a pilot, which to a seaman is trustworthiness personified.",he resembled a pilot  which to a seaman is trustworthiness personified ,71,11,1.0,0.8538187757149424,0.8333333333333334,0.8538187757149424,1.5384615384615385,1.0,0.8740992647904479,0.9090909090909091,0.8740992647904479,1.6295596118555231,29.429982966380244,0.925316053471121,1.1528368292366225,0.925316053471121,2.6714095854522526,0.0,0.002101307649919007,0.0,0.002101307649919007,0.0,-0.009999999999999898,-0.2141047696933276,-0.10256410256410249,-0.2141047696933276,-0.12464392143761523,8.065885200644114,0.7007098330086963,0.5354513645365149,0.7007098330086963,1.5821040225149015,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215,1.0033890009641273,0.7405130007027407,1.0033890009641273,1.9222640714509471,0.0,-0.20361635001853773,0.0,-0.20361635001853773,0.0,0.0,-0.05515174558744214,0.0,-0.05515174558744214,0.0,4.40370744113575,-0.41204479977226144,-0.2687047736674203,-0.41204479977226144,0.2759158756521206,-0.9438,-0.733155165992049,-0.015622448424146725,-0.733155165992049,-0.486160129561764
10,10,2,0,"It was difficult to realize his work was not out there in the luminous estuary, but behind him, within the brooding gloom.",it was difficult to realize his work was not out there in the luminous estuary  but behind him  within the brooding gloom ,122,22,-1.3,-0.8845840757967482,-1.0833333333333335,-0.8845840757967482,-1.0,-1.3,-0.9135124620879522,-1.1818181818181817,-0.9135124620879522,-1.05921374770609,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,0.09375,0.11493855857527742,0.125,0.11493855857527742,0.0977867203219316,-1.6719999999999997,-1.2797821780426573,-1.254331254331254,-1.2797821780426573,-0.9408015082070229,-7.6388110691938405,-0.6125563495746378,-0.5071001766935445,-0.6125563495746378,-0.7491672283432593,-1.2535088637853504,-1.3379376544551733,-1.9010591678611672,-1.3379376544551733,-2.5933059031680843,"{'neg': 0.248, 'neu': 0.709, 'pos': 0.043, 'compound': -0.7579}",-0.7579,-1.7737836016692408,-1.3315179198875617,-1.7737836016692408,-1.7282134516639063,-0.3444444444444445,-1.6585065123819602,-2.755555555555556,-1.6585065123819602,-3.3446094022185013,-0.33322127925539075,-0.2771352377792519,-2.9733907605453958,-0.2771352377792519,-3.614011174890655,5.640789887034077,-0.21509414151335313,0.016336597813564287,-0.21509414151335313,-0.6222386274065654,-0.9839,-0.7788594940448694,-0.03745032932339011,-0.7788594940448694,-0.10637948491260732
11,11,3,0,"Between us there was, as have already said somewhere, the bond of the sea.",between us there was  as have already said somewhere  the bond of the sea ,74,14,0.0,0.09799144897072905,0.0,0.09799144897072905,0.0,0.0,0.09687677484331744,0.0,0.09687677484331744,0.0,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,-0.29166666666666696,-0.3489479174511964,-0.3888888888888893,-0.3489479174511964,-0.47806841046277715,1.8920000000000001,1.005461073074678,1.2155232155232154,1.005461073074678,1.354094729374615,7.911982467686462,0.6878400995781545,0.5252345778704347,0.6878400995781545,1.219362862802706,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.010868861901922317,0.0,0.010868861901922317,0.0,0.0,-0.20361635001853773,0.0,-0.20361635001853773,0.0,0.0,-0.05515174558744214,0.0,-0.05515174558744214,0.0,5.476336635168923,-0.24127604742839526,-0.021555767898659265,-0.24127604742839526,0.21869520429422654,0.9984,1.480484383738324,1.041587284306788,1.480484383738324,0.9664427515576238
12,12,3,0,"Besides holding our hearts together through long periods of separation, it had the effect of making us tolerant of each other's yarns--and even convictions. The Lawyer--the best of old fellows--had, because of his many years and many virtues, the only cushion on deck, and was lying on the only rug.",besides holding our hearts together through long periods of separation  it had the effect of making us tolerant of each other own yarns  and even convictions  the lawyer  the best of old fellows  had  because of his many years and many virtues  the only cushion on deck  and was lying on the only rug ,299,50,0.7,0.6270705776916783,0.5833333333333334,0.6270705776916783,0.2369230769230769,0.7,0.6409325178063088,0.6363636363636362,0.6409325178063088,0.2509521802257505,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,1.5416666666666667,1.857647211755813,2.055555555555556,1.857647211755813,0.7075412474849095,0.812,0.31296311819063694,0.4670824670824671,0.31296311819063694,0.06174829063040052,0.0,0.026220235463961118,0.0,0.026220235463961118,0.0,1.222797629695131,1.3271454914949063,1.8544828134289901,1.3271454914949063,1.113098516776814,"{'neg': 0.055, 'neu': 0.804, 'pos': 0.141, 'compound': 0.6597}",0.6597,1.5642865030391386,1.1589950808151792,1.5642865030391386,0.6618881939405973,0.2805555555555556,0.9814151531968308,2.244444444444445,0.9814151531968308,1.1986648535047595,0.45459938236445363,0.3654776915485698,5.63418328833631,0.3654776915485698,3.0131527681029255,13.939892978524494,1.1061709223043217,1.928567860251937,1.1061709223043217,-0.48247552657272197,0.9977,1.4796865525753073,1.0412062489793696,1.4796865525753073,0.49159033018482473
13,13,3,0,"The Accountant had brought out already a box of dominoes, and was toying architecturally with the bones.",the accountant had brought out already a box of dominoes  and was toying architecturally with the bones ,104,17,-0.25,-0.09096538271532426,-0.20833333333333334,-0.09096538271532426,-0.248868778280543,-0.25,-0.09742884764346518,-0.22727272727272727,-0.09742884764346518,-0.2636052313295699,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,1.0,1.2056986508537422,1.3333333333333333,1.2056986508537422,1.349840217777252,0.6200000000000001,0.18985237065569635,0.3340263340263341,0.18985237065569635,0.28163307126414805,0.0,0.026220235463961118,0.0,0.026220235463961118,0.0,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.010868861901922317,0.0,0.010868861901922317,0.0,0.0,-0.20361635001853773,0.0,-0.20361635001853773,0.0,0.0,-0.05515174558744214,0.0,-0.05515174558744214,0.0,5.454768584229294,-0.24470980549682933,-0.026525353264927404,-0.24470980549682933,-0.21995776028052716,-0.7857,-0.5529592990306793,0.07043710195416693,-0.5529592990306793,-0.1202007919850574
14,14,3,0,"Marlow sat cross-legged right aft, leaning against the mizzen-mast.",marlow sat cross legged right aft  leaning against the mizzen mast ,67,9,0.8,0.7026533103660997,0.6666666666666667,0.7026533103660997,1.5042735042735043,0.8,0.7186547668010218,0.7272727272727273,0.7186547668010218,1.5933471760365114,29.429982966380244,0.925316053471121,1.1528368292366225,0.925316053471121,3.2650561599971972,0.5625,0.6791248132020695,0.75,0.6791248132020695,1.4342052313883302,0.9329999999999999,0.3905485372100526,0.5509355509355509,0.3905485372100526,1.011982322283622,-8.065885200644114,-0.648269362080774,-0.5354513645365149,-0.648269362080774,-1.9336826941848797,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.010868861901922317,0.0,0.010868861901922317,0.0,0.14285714285714285,0.3997943163994715,1.1428571428571428,0.3997943163994715,3.3908482418805073,0.11865727257408445,0.02389469406013809,1.0587992421483137,0.02389469406013809,3.145801366089512,4.804044481239,-0.34830883469153284,-0.17646143180769194,-0.34830883469153284,1.1086025529731844,-0.9995,-0.7966397313921014,-0.045941973762996045,-0.7966397313921014,-0.7196608109128237
15,15,3,0,"He had sunken cheeks, a yellow complexion, a straight back, an ascetic aspect, and, with his arms dropped, the palms of hands outwards, resembled an idol.",he had sunken cheeks  a yellow complexion  a straight back  an ascetic aspect  and  with his arms dropped  the palms of hands outwards  resembled an idol ,154,26,0.25,0.28694828065678235,0.20833333333333334,0.28694828065678235,0.16272189349112426,0.25,0.29118239733010004,0.22727272727272727,0.29118239733010004,0.17235726663856493,0.0,0.14066423687532684,0.0,0.14066423687532684,0.0,-0.42500000000000004,-0.5094275632117059,-0.5666666666666668,-0.5094275632117059,-0.37509982974771716,1.657,0.8547786477063912,1.0526680526680527,0.8547786477063912,0.5779219803413957,7.542560858055352,0.6569481358809129,0.5007106353587737,0.6569481358809129,0.6259233575648798,0.0,0.011130142672784872,0.0,0.011130142672784872,0.0,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.2263}",0.2263,0.5437450362074431,0.39757554462403377,0.5437450362074431,0.43663582015355806,-0.075,-0.5204069498879925,-0.6,-0.5204069498879925,-0.616221459341746,-0.09179655389911497,-0.11630426157091704,-0.8191164316500361,-0.11630426157091704,-0.8424273817365726,7.742481404456179,0.11950726616636331,0.5005961833749164,0.11950726616636331,-0.36398067757921354,-0.9972,-0.794018286142189,-0.04469000054433615,-0.794018286142189,-0.047495882949018395
