,sent_no,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
481,481,-0.022998497357297466,-8.653152726480722e-05,0.024347618818576867,-0.00992077814271039,-0.07907296229391804,0.039120982130123064,0.03387516574165333,0.051641978866023876,-0.1096561238942713,-0.17761656156005418,-0.0805594394457022,-0.04314837839943855,-0.13731356956067414,0.06240225468497894,0.4951414897110848,-0.5391976911077496,0.10358838833937002,0.5095213305105706,-0.38585185574566755,0.21593931549636017,0.7946290436916239,0.7116661067995892,0.5555069879834882,3.003014876372792,2.805804263527157,1.7925479266652145,1.5188024524632886,1.3273405437903543,2.4735825894578722,1.2441096982507787,2.513606573278373
482,482,-0.013641014469218051,0.009572683739959295,0.023065904677951055,0.0011538208176560098,-0.08426247369156194,0.043479166961981036,0.039276162782302185,0.05713390171680433,-0.10906625290905245,-0.17080964349495423,-0.07998504552362334,-0.053214043423071275,-0.13497355576613035,0.0647940268446887,0.4249406170496713,-0.5551696632600155,0.16628557697900562,0.48889192147285787,-0.46332987539509823,0.3199725635670149,0.7946290436916239,0.788821143382833,0.6133963323986071,3.0026077328275846,2.7665419971318648,1.7400020215489367,1.472068288477355,1.3186710274547702,2.4730087066582462,1.2441096982507787,2.438200827527653
483,483,-0.016813042566872088,0.00629837347988333,0.026886061740153004,0.001209512048060153,-0.10177044572069342,0.034164598832312744,0.0349499009720679,0.05093604542768826,-0.1088303045149649,-0.17053097403183937,-0.07947016884509824,-0.06670543122978137,-0.1383883596195143,0.061303691528530456,0.4883812997106795,-0.6804092633736079,0.14798589814890611,0.4218695342018058,-0.46332987539509823,0.28144173094825403,0.8400070581354647,0.6923773476537782,0.4976176435683693,3.001952468493527,2.7046460313998404,1.66325218581452,1.4689960393440973,1.3187616996388543,2.47558100627388,1.2441096982507787,2.3508500300287456
484,484,-0.018399056615699107,0.004661218349845345,0.023586169042248608,0.0025461015777595458,-0.1066998502210345,0.026162868258511506,0.0349499009720679,0.05093604542768826,-0.1088303045149649,-0.17811357462512495,-0.07947016884509824,-0.06684043972723387,-0.16309136188104809,0.036054287782215255,0.43861433373465963,-0.7607967573878253,0.1725030496304091,0.29327180270429803,-0.46332987539509823,0.2621763146388736,0.7946290436916239,0.6923773476537782,0.4397282991532504,3.00196267588433,2.7053483243140826,1.689878847456392,1.4466839649343142,1.381719306459736,2.4752909678571617,1.2441096982507787,2.388196617899171
485,485,-0.019192063640112618,0.003842640784826354,0.023586169042248608,0.0045509858723086355,-0.10577306156753799,0.02613619070412501,0.0349499009720679,0.05093604542768826,-0.10956764324648847,-0.18688783607279674,-0.08082627298235201,-0.06702266808541617,-0.17883649820303404,0.01996088748108456,0.43861433373465963,-0.7435804741711706,0.21238431614205264,0.29031822039009764,-0.46332987539509823,0.2525436064841833,0.7946290436916239,0.6923773476537782,0.4397282991532504,3.0847438728975116,2.675195405557535,1.7407441842262161,1.404386356384774,1.4593638985322757,2.3869977788737473,1.2441096982507787,2.3455489055524508
486,486,-0.016495839757106685,0.0066258045058909245,0.026818860722412397,0.007892459696557119,-0.11020498006041635,0.031402494989967625,0.037749187023390536,0.056452818608110265,-0.10735562705191774,-0.1779285453047046,-0.08308611564238881,-0.06644594694992394,-0.13853043657688932,0.06115847199521939,0.48657098211328675,-0.6872587514551219,0.22247752952453895,0.3670731836295776,-0.46332987539509823,0.2852948142101302,0.8400070581354647,0.7309548659454002,0.4976176435683693,3.002129954435973,2.6096821610212118,1.8398628048481802,1.431517423249146,1.458199426357486,2.3873596815607065,1.3690367418323717,2.385768077779772
487,487,-0.019350665044995323,0.003678925271822555,0.02423641253309885,0.0061501197739132684,-0.11105853473311884,0.03353266159716148,0.037749187023390536,0.05909799814106536,-0.10602841733517529,-0.17798571981490746,-0.08124969608132489,-0.0604877103277946,-0.3015282453100897,-0.10544465740973787,0.30371123476919587,-0.7628820780081054,0.20525067877896397,0.2370772396241803,-0.46332987539509823,0.2506170648532452,0.7946290436916239,0.7309548659454002,0.5265623157759288,3.0848563975250505,2.675621827961565,1.8919192898131008,1.339202231451607,1.461642580207397,2.3881492333512244,1.4939637854139645,2.393723644719647
488,488,-0.021253881903587745,0.0017143391157769746,0.0364217959077774,0.011552169123114985,-0.1061493327102382,0.03929607424376751,0.047095547577354235,0.06766307842418298,-0.09090627025956438,-0.17002450691390042,-0.06978902992463927,-0.06436635249457102,-0.29965418777621805,-0.10352914791758858,0.47481432602069057,-0.679202694510152,0.3029621085092871,0.36279551179452424,-0.3022339043960327,0.22749856528198859,0.9761411014669871,0.8466874208202659,0.5844516601910477,3.084833102526141,2.6525581762517003,1.8643736125685881,1.294451840115228,1.4618329209434584,2.377483737079632,1.3690367418323717,2.326819201256344
489,489,-0.017764650996168304,0.005316080401860539,0.04217287304139616,0.011886316505539831,-0.10161135121069265,0.04184523319199097,0.05430391765262136,0.07279329092129212,-0.083827818436938,-0.16965309769407852,-0.06670028652179312,-0.05999328540748284,-0.2578776202137989,-0.060828531597714466,0.5513266681408977,-0.6259736908447996,0.27349552579464653,0.39393814690714773,-0.1781418944737629,0.26988248116262586,1.0668971303546688,0.9624199756951319,0.6133963323986071,3.002329141326028,2.6152580271869406,1.8927219844146508,1.3426237883883732,1.3704775731120382,2.3765269903263078,1.3690367418323717,2.3686988909415105
490,490,-0.020936679093822342,0.002041770141784572,0.03894018136123236,0.018569264154036796,-0.10656853411754179,0.036564594432111665,0.05150463160129872,0.07093135696333522,-0.083827818436938,-0.17822972441750565,-0.06670028652179312,-0.05999328540748284,-0.30638503108492415,-0.11040886959900326,0.5033700197622707,-0.6767299939419976,0.3385466278651175,0.31438573014928284,-0.1781418944737629,0.23135164854386475,1.0215191159108281,0.92384245740351,0.5555069879834882,3.001317964070563,2.5712674887856233,1.8934621555486204,1.3411073889842298,1.3707603600412384,2.2797394633524823,1.3065732200415754,2.3332828773476426
491,491,-0.02299849735729747,0.0031877787328111608,0.03429799025912192,0.011289624751209745,-0.10959890573660393,0.026877363346918565,0.04874786555315884,0.06831286852518031,-0.08420070116687993,-0.17803479085122334,-0.06784032543437302,-0.05898793757401133,-0.24653559384817944,-0.02295522024674609,0.5924875291526446,-0.6750255692876752,0.39457251843936775,0.31036106474742026,-0.2726539183159806,0.24483743996043122,0.9307630870231464,0.8659761799660771,0.4397282991532504,3.0844597469094306,2.6165799965301337,1.9810436938541616,1.34508359873357,1.3925123363473089,2.3773077462372134,1.431500263623168,2.3702579985895507
492,492,-0.023474301571945574,0.0026966321937997653,0.03457853416512235,0.011735154594442873,-0.11017972696359084,0.026953229593919808,0.046589500655270365,0.06872151839039675,-0.08773992707819311,-0.17805054760600367,-0.06932355441858881,-0.05759783344831068,-0.21769508827549572,0.006523203539275864,0.6288299845139634,-0.6530292305138926,0.40073536155114403,0.33994582963767045,-0.2137116848628321,0.23905781506761703,0.9307630870231464,0.827398661674455,0.4397282991532504,3.167647218436737,2.704626640764875,1.9788876073632047,1.4853623624683485,1.3947018891712981,2.3791215111114896,1.5564273072047607,2.498802020855396
493,493,-0.016813042566872095,0.009572683739959295,0.04279389526008049,0.00872782815261924,-0.11409395697154609,0.029463124108109962,0.04997632632407235,0.07204594026688729,-0.07800705582208185,-0.178023986219374,-0.06533963246145864,-0.06240541466895085,-0.14570232842589767,0.08010835893897247,0.7324281854828315,-0.6533564559652022,0.3277908473590814,0.3680573811572838,-0.15770455962299967,0.3199725635670152,1.0668971303546688,0.8852649391118881,0.4686729713608099,3.1676243380898006,2.7052650002010172,1.9540308772994122,1.3742212759660404,1.3993221749200473,2.4744968804165297,1.5564273072047607,2.4306765110327273
494,494,-0.019985070664526136,0.006298373479883328,0.0399782421280799,0.004272529720287926,-0.11355859131884512,0.0319954516005581,0.04997632632407235,0.07204594026688729,-0.08243108821122333,-0.18693825768809377,-0.07097296214870646,-0.06701421990165095,-0.2111536310221646,0.01320935016752627,0.6664986941013993,-0.6630976943938647,0.23948564450920906,0.3978741842210744,-0.15770455962299967,0.2814417309482543,1.0215191159108281,0.8852649391118881,0.4976176435683693,3.1673059598623303,2.621684424230478,1.9053738856342246,1.235212838787249,1.3902270474496152,2.3762184371983057,1.4939637854139645,2.3904952488440974
495,495,-0.029818357767253653,-0.0005776780662762012,0.02964844937082572,0.0005335541699068444,-0.12468510578016825,0.029533607916414087,0.05207391179270234,0.07110070735792944,-0.08243108821122333,-0.1957935538746358,-0.07097296214870646,-0.0740320106943567,-0.304496056476107,-0.05142123250271734,0.5451769038419731,-0.7684969540752902,0.20251767235252938,0.3731835255602558,-0.15770455962299967,0.20052698244885614,0.8400070581354647,0.92384245740351,0.4686729713608099,3.167279315369334,2.6231408893555916,1.903080029447068,1.3565839789135243,1.3031066162269356,2.3830019004238614,1.5564273072047607,2.3890261690828365
496,496,-0.023791504381710984,0.0023692011677921686,0.03527975563482692,0.0016473787779896704,-0.11886931758125151,0.03459826290131035,0.05441292310044257,0.0751540722372385,-0.07844945906099601,-0.18778417032330028,-0.07018160541187261,-0.0770909698532298,-0.23540857040226973,-0.01797172811699447,0.6184318942657866,-0.6788870485752412,0.2158166486853415,0.43281713168783637,-0.15770455962299967,0.2352047318057409,0.9307630870231464,0.9624199756951319,0.5265623157759288,3.250355833973888,2.621097095063326,1.873799540973426,1.3621115166320155,1.3947667091553415,2.3010956598118666,1.4939637854139645,2.4236416591009027
497,497,-0.030611364791667164,-0.004670565891371158,0.03008308679537296,-0.0028397432145725755,-0.12204868247158421,0.0321471347427741,0.04573444801503881,0.07124888895319938,-0.0837582979279658,-0.18766666995193843,-0.07643924478880916,-0.07890972943430674,-0.2610608221291642,-0.044191377615348776,0.643316968221074,-0.7021458003493644,0.23574921804953566,0.47974391503641634,-0.3392541367663352,0.1523634416754049,0.8400070581354647,0.808109902528644,0.4976176435683693,3.2502964890827215,2.6180181365468296,1.8191154255688426,1.3980830229919106,1.3193918792820638,2.2273314825047925,1.4939637854139645,2.3362434099021456
498,498,-0.025060315620772596,-0.0022148331963141835,0.037976324805445244,1.1647782119461149e-05,-0.11683896859647988,0.03224121207697466,0.049787502909852545,0.07494790653947164,-0.07491023314968283,-0.18074855421738878,-0.06979412609834093,-0.07954182878373833,-0.14713944242436647,0.01155779636085616,0.7763844078618243,-0.5880642246231752,0.2950545094154976,0.49068688565243695,-0.3392541367663352,0.1812615661394757,0.9307630870231464,0.8466874208202659,0.4976176435683693,3.32372608730762,2.6373119107169583,1.8497650305565099,1.301688264645849,1.411311817852317,2.227572255791661,1.4939637854139645,2.299598788525712
499,499,-0.02696353247936502,-0.004179419352359764,0.037976324805445244,-0.004332268189403567,-0.12258657343396773,0.029615227171071703,0.049787502909852545,0.07494790653947164,-0.07491023314968283,-0.18077691637599336,-0.06979412609834093,-0.07744057496279098,-0.17473613469491253,-0.016649302429190837,0.7763844078618243,-0.7103452785143762,0.22944862242933645,0.45297128156193145,-0.3392541367663352,0.1581430665682191,0.9307630870231464,0.8466874208202659,0.4686729713608099,3.2406150954814867,2.6378162852960316,1.8531981448899133,1.2083829021831403,1.4119025518824602,2.227594289440791,1.4939637854139645,2.307709683659743
500,500,-0.03251458165025958,-0.009909462307492706,0.03631416465104704,-0.0007568911974576899,-0.1275008260762135,0.022587417693287214,0.05202378356336959,0.069196435801324,-0.05726325950855179,-0.17178251055439075,-0.06085932243310776,-0.08329123362367673,-0.19313016458328347,-0.03545018672075195,0.7641291912425602,-0.7334236206557907,0.27712348591912006,0.44295130847620223,-0.3392541367663352,0.09071410948538741,0.8853850725793054,0.8659761799660771,0.3818389547381311,3.240623301617853,2.5910434632078303,1.9330919623123584,1.2107196871809731,1.42082581742011,2.3234643376088506,1.5564273072047607,2.3045740706954505
501,501,-0.024425910001241787,-0.00155997114429899,0.0399456849528121,-0.0016925038682472705,-0.11877335581331454,0.027636432216711592,0.06554762696935756,0.08307672547999335,-0.04971080421566025,-0.16281016418948063,-0.04838437462757063,-0.07750116261861957,-0.1647631794813238,-0.006455757123811818,0.8224963692995021,-0.7214360224756318,0.22520969514079348,0.46526393606447863,-0.34500964172104504,0.18896773266322772,0.9307630870231464,1.1167300488616199,0.4397282991532504,3.1589047731932616,2.6056678750699045,1.9256068361026033,1.2638205876589568,1.3334245078383402,2.2343263720717803,1.4939637854139645,2.230354505779806
502,502,-0.021253881903587745,0.0017143391157769766,0.03547864820747354,-0.007261626908661409,-0.11382879945487816,0.030460332913151762,0.06870578428641964,0.08499388239270925,-0.05310256238066872,-0.16250718430470468,-0.05216814848181164,-0.07315934451250869,-0.10069284570556279,0.05903173741382302,0.852509282913048,-0.7052211085838508,0.14652393036190306,0.4703067010950868,-0.34500964172104504,0.22749856528198859,0.8400070581354647,1.1553075671532418,0.4686729713608099,3.0833802364984573,2.669474682456147,1.903970604534226,1.1674843549665885,1.328875001206212,2.2557403394699804,1.431500263623168,2.2302577084349866
503,503,-0.029501154957488247,-0.006798867560420537,0.029727571073854778,-0.007707156751894542,-0.12358407075857568,0.020584570390915862,0.06013270788000419,0.0713851055749382,-0.06150822392003755,-0.17133726968359816,-0.05706172014118795,-0.07963307176391342,-0.1893050705785142,-0.03154048611547698,0.7759969407928409,-0.8039792362206438,0.10143905499149444,0.351840776385581,-0.40705564668217964,0.12731840047321025,0.7492510292477831,1.0009974939867539,0.35289428253057165,3.0832603201408237,2.6704423923456133,1.9045065656948177,1.023798286331085,1.328996682848856,2.3351598571671572,1.431500263623168,2.3174182997311035
504,504,-0.039810246274863875,-0.017440375905667427,0.017145027111071687,-0.00804130413431939,-0.12236939680126827,0.004764691948283306,0.05158627043754474,0.06344036315027976,-0.07124109517614882,-0.17999132960194575,-0.06175266124581917,-0.07851632191049401,-0.3399929157113153,-0.1855613699391786,0.5936379925063531,-0.7931567640614134,0.09489496092058343,0.1190558710924089,-0.47763874251548005,0.0020931944622369497,0.5677389714724197,0.8852649391118881,0.1792262492852149,3.0000509490302325,2.5871525451832085,1.8578617812156792,0.9689402574989471,1.3280231088773689,2.237306508086795,1.3065732200415754,2.317251161221571
505,505,-0.036321015367444434,-0.013838634619583866,0.019933435881897218,-0.004142918006029496,-0.11781626344362742,0.01678282554496105,0.0538965120317356,0.07344124025713086,-0.06866131710963971,-0.17138273917596422,-0.06019870934943531,-0.07207883582574477,-0.2938585118490953,-0.1384065270832302,0.6295254620365153,-0.6724650764653853,0.2500618914920285,0.27102341072310604,-0.41943443061472185,0.04447711034287424,0.6131169859162606,0.92384245740351,0.32394961032301217,3.0000915129182286,2.529469315715377,1.8520371693033624,1.0120445312883117,1.3344675702387463,2.141063599007342,1.2441096982507787,2.2381489080823993
506,506,-0.033148987269790396,-0.0105643243595079,0.02310017071656728,-0.005368125074920607,-0.11652583019584346,0.01688101168595893,0.05422901698765277,0.07732065282894912,-0.0671129057734402,-0.16297223366722102,-0.05426910867032771,-0.07493016881766604,-0.2768461198797525,-0.10352454086390306,0.6756230376442383,-0.6398048054565509,0.2501507558008854,0.27809128400819766,-0.48011662057263105,0.05988944339037855,0.6584950003601013,0.92384245740351,0.32394961032301217,2.9191587897110516,2.454408892995086,1.8651346330756944,0.8871928113502852,1.2612109044288584,2.1412152209854236,1.3065732200415754,2.1646140408323373
507,507,-0.028549546528192034,-0.005816574482397748,0.016491604883539793,-0.004031535545221214,-0.1125232143489989,0.021691893501656092,0.05076365459636648,0.07732065282894912,-0.06821891387072557,-0.15421327878133584,-0.05519612678546259,-0.07163501327223876,-0.2388633983004712,-0.06470168595802303,0.5762948854530678,-0.6097111840783319,0.24617882304615463,0.3140902101032453,-0.48011662057263105,0.11575915068758207,0.5677389714724197,0.8659761799660771,0.3818389547381311,2.835946823921942,2.518868783314188,1.8234534041509842,0.8420157721460885,1.2621937603672173,2.0457342308048734,1.2441096982507787,2.1213503271299157
508,508,-0.04631290387505465,-0.020878401678747195,0.0009544763890429077,0.0006688043008883203,-0.11603844542711098,0.014474534027452796,0.04190185186729978,0.06597969868661348,-0.06782566654724632,-0.1553842307580108,-0.059343065354244405,-0.08019355098934314,-0.22129456553689972,-0.0730246638281708,0.5480920397376211,-0.5580079909943477,0.21884572796110321,0.33517387374295554,-0.3961059327128819,-0.06148267935871833,0.2954708848093749,0.7116661067995892,0.29500493811545275,2.8356743950922345,2.4976270889885224,1.7688703716931125,0.8723980582708952,1.3490228888680145,2.0588459866010598,1.3690367418323717,2.1547351726228463
509,509,-0.045519896850641145,-0.022515556808785177,0.0009544763890429077,0.004233043046753368,-0.11647532400219242,0.011896504337231302,0.03938335666045404,0.06113204364135444,-0.06959527950290291,-0.15540088789877857,-0.057722059727237214,-0.0774636131189493,-0.29281212045830396,-0.10435299504027865,0.4657605381474254,-0.605492326053302,0.24822382345399702,0.3016626801074295,-0.4628708573585994,-0.08074809566809904,0.25009287036553385,0.6730885885079669,0.29500493811545275,2.7525443541047676,2.4350623930144604,1.7932863976322437,0.8321922030819572,1.350973203115072,2.0516299577209822,1.2441096982507787,2.1517089392839077
510,510,-0.050277938997122205,-0.02742702219889913,-0.005183428964609002,-0.0020043747585104677,-0.1188339632456958,0.009296130828517872,0.03284836919346494,0.055270126993688815,-0.08242497343141322,-0.15549002611153584,-0.06528412138018214,-0.07597540018520625,-0.3576185669086204,-0.1705928842029009,0.37872063961272306,-0.6506738370550033,0.15500272878244536,0.2662350389557923,-0.6304611396931626,-0.13854434459624038,0.15933684147785235,0.5766447927789121,0.2660602659078933,2.752400797618738,2.4574620498066913,1.7216679801437553,0.7341410627691414,1.3521345858778104,1.973904426231003,1.119182654669186,2.081905445620617
511,511,-0.044726889826227634,-0.02169697924376619,0.003022547051972058,-0.00016656415517380158,-0.11435911448821404,0.01937280768127297,0.033672528592117355,0.05773399115851859,-0.07977055399792833,-0.15413359462144682,-0.058810692274967394,-0.07371164474517666,-0.23982444557671578,-0.05019329483464675,0.5718478654644411,-0.557538472485989,0.21626589271188093,0.4539093600747492,-0.6304611396931626,-0.07111538751340869,0.2954708848093749,0.5959335519247231,0.3818389547381311,2.752424941785162,2.4604816810242807,1.7487969115942583,0.5950945537006416,1.352070243722831,1.973813118437408,1.119182654669186,2.083382697046453
512,512,-0.047581715114116276,-0.02726330668589533,0.0004559709101379404,-0.0010019326112359222,-0.11423032369440389,0.01676009159550054,0.03129717577692582,0.05099679067792317,-0.08811301507459514,-0.15413269423545936,-0.06903947493190606,-0.06964168630858877,-0.2665448279702747,-0.0775047007993166,0.5419416408559725,-0.5470059760772352,0.2309249604644138,0.4173913834410791,-0.6304611396931626,-0.13661780296530204,0.25009287036553385,0.5573560336331012,0.35289428253057165,2.6693490836442306,2.459576051960444,1.6371108016067881,0.5885307735797535,1.352269910364072,1.9694360930176522,0.9942556110875934,2.038794935329249
513,513,-0.046788708089702764,-0.026444729120876337,0.003755863608042337,-0.008308622040259271,-0.11662936789282807,0.014192237217685987,0.03561287034449642,0.052290848584441905,-0.08722820859676685,-0.14758328656276934,-0.06864113920420205,-0.07148659972435348,-0.25179992427820524,-0.062433657102683844,0.5917086068319923,-0.6039938299411427,0.14827434156683617,0.38472871217962457,-0.6304611396931626,-0.12698509481061196,0.2954708848093749,0.615222311070534,0.32394961032301217,2.6690893103900337,2.4178223419209672,1.6407829132609615,0.6323745926575236,1.267032990688405,1.8746760573146641,0.8693285675060003,2.002644451106145
514,514,-0.04298227437251792,-0.022515556808785177,0.001156877007414919,-0.006303737745710181,-0.11294746637566759,0.016659356732267937,0.03561287034449642,0.05683661814368519,-0.08501619240219611,-0.139519879852187,-0.06767590689081263,-0.06904744542691613,-0.21513986207850788,-0.024962717253135442,0.5609353555881538,-0.5550210908285436,0.17653727482441497,0.40977983747939084,-0.6803709253940285,-0.08074809566809878,0.25009287036553385,0.615222311070534,0.35289428253057165,2.594150676934155,2.420573723766904,1.645161269494587,0.599203407075554,1.2663806469166066,1.777473787916059,0.7444015239244076,2.0089284719009433
515,515,-0.042347868752987114,-0.021860694756769987,-0.0022188089248903085,-0.003407793764694828,-0.10811149833358094,0.016378173106169354,0.03264664911666452,0.05683661814368519,-0.08457378916328197,-0.1473325290652653,-0.0671960129626886,-0.06682797883074214,-0.22292906024023332,-0.03292420335766902,0.5091362551037196,-0.5091939559120887,0.1984610115079897,0.38507878904813175,-0.6803709253940285,-0.07304192914434623,0.20471485592169308,0.5766447927789121,0.35289428253057165,2.511062071348713,2.4644071895410233,1.6183361752947378,0.6817849148649242,1.264907211567578,1.7772790010817292,0.7444015239244076,1.937884487130489
516,516,-0.04456828842134494,-0.024152711938823165,-0.0022188089248903085,0.0011031958980406234,-0.10820998541120046,0.011385218893741297,0.03264664911666452,0.05202025610612291,-0.08877907772873814,-0.15629272021934495,-0.07240787344625084,-0.06730654495459532,-0.28820672838559097,-0.09964573708746378,0.4328716052141024,-0.5472566720546324,0.19847393959056484,0.2687454098077833,-0.6803709253940285,-0.10001351197747922,0.20471485592169308,0.5766447927789121,0.29500493811545275,2.51094653242479,2.420092573958717,1.5633574343355563,0.685100443053435,1.1760851212027015,1.6803757476398606,0.6819380021336113,1.9027228559194984
517,517,-0.046947309494585476,-0.026608444633880138,-0.005242671703353414,0.003108080192589713,-0.11194239312201198,0.008796375946592813,0.03008261842171196,0.04889095533644743,-0.08877907772873814,-0.16213172334793924,-0.07240787344625084,-0.06454926252968982,-0.31969700102956294,-0.13183253768972517,0.3905778167734302,-0.6156388462697128,0.24635025438868857,0.23431593125727607,-0.6803709253940285,-0.12891163644154977,0.15933684147785235,0.5380672744872902,0.2660602659078933,2.594046271539875,2.4589291356328533,1.6184852638109346,0.5971310121152003,1.268124055686721,1.7747377155852497,0.8068650457152039,1.9220402887499632
518,518,-0.04948493197270871,-0.02922789284194091,-0.01113092924800762,0.0026625503493565837,-0.11019487882168613,0.011364230324407365,0.026367469161842686,0.0429213539270018,-0.08966388420656643,-0.16213487469889534,-0.07320454490165887,-0.062400005972140835,-0.351562916451849,-0.1644032898487091,0.3103309953635352,-0.5954241066819925,0.2274926524786259,0.2669786025187301,-0.6803709253940285,-0.15973630253655838,0.06858081259017053,0.4802009970498571,0.29500493811545275,2.5112522848721017,2.4558631529107315,1.6589074243462407,0.5969653315808698,1.2655198296196168,1.774322683089823,0.6819380021336113,1.948476711272654
519,519,-0.05392577130942435,-0.03381192720604726,-0.019020608903570144,0.0031637714229938553,-0.11053832093851318,0.006577724043937787,0.021960416903398932,0.03508981855959927,-0.09226300323518705,-0.16219700133202916,-0.07803328206222847,-0.059805945189872534,-0.4079144317669175,-0.22200123469942126,0.2154497795521589,-0.6506641497959528,0.24341370373261575,0.2834025656902966,-0.726971670434848,-0.21367946820282382,-0.06755323074135172,0.4030459604666131,0.2371155937003338,2.594098582245164,2.5111026778429295,1.7350669154008067,0.6120023988108271,1.2704338099817143,1.77442361595488,0.8068650457152039,2.030596196143118
520,520,-0.05075374321177032,-0.02726330668589533,-0.01920077327940729,-0.0016925038682472709,-0.1079498785138976,0.013920501660910639,0.028122090174166,0.043869347983697606,-0.08135039000863806,-0.16199441448485358,-0.06577411154179866,-0.06017175420117419,-0.4192276918865932,-0.20512923080622386,0.19113241058222602,-0.6349026108357798,0.14897862700998318,0.27362733506787645,-0.681521738696452,-0.1366178029653018,-0.06755323074135172,0.518778515341479,0.32394961032301217,2.594139997783621,2.512214252983661,1.7926127855891194,0.6251348771127085,1.270488334671732,1.7802726707969212,0.8068650457152039,1.9973303019993216
521,521,-0.05678059659731299,-0.033484496180039666,-0.024631703571574192,-0.008275207302016783,-0.10918222963898287,0.013861942702531596,0.026900058486060033,0.03953158488737981,-0.08459468042734182,-0.16882969470855808,-0.06840115925577883,-0.06069969477596784,-0.4852132630933197,-0.272574325584207,0.12331146803921378,-0.6526439462004172,0.04628359416582106,0.2692037201151293,-0.7409262657742269,-0.20982638494094769,-0.15830925962903353,0.49948975619566804,0.32394961032301217,2.5965771755915834,2.550140779574138,1.8474670906548407,0.5860697854108506,1.270672837105554,1.8748399120700223,0.931792089296797,1.9590357537969383
522,522,-0.06360045700726917,-0.04052426323920299,-0.024922695845882088,-0.013900021572835061,-0.11977337844760502,0.0018824885257098644,0.020829077551388325,0.03218509113927698,-0.09386057048682149,-0.16003517457616875,-0.07260786773604619,-0.055603297347119426,-0.48517580598643867,-0.26322615216993533,0.1575174361459943,-0.7131207033691849,0.04788804870158368,0.22029234815896312,-0.765294225167128,-0.29266767507128366,-0.15830925962903353,0.38375720132080215,0.1792262492852149,2.597472573077368,2.487236367593903,1.8440440997304968,0.634692372479145,1.1811963818068631,1.953428726034922,0.931792089296797,1.9729936751728863
523,523,-0.06344185560238647,-0.040360547726199195,-0.0284860788585774,-0.0013694947319032515,-0.1260538236281113,0.0018824885257098644,0.017171572256824703,0.02594673801667099,-0.0994643448464007,-0.1511429625641414,-0.06724407708830932,-0.046826743298641504,-0.4970484142941278,-0.27536136867151406,0.10096453191186526,-0.7542132852651084,0.11053278697517502,0.22029234815896312,-0.8005857730837781,-0.2907411334403456,-0.2036872740728743,0.32589092388336927,0.1792262492852149,2.5975079302277058,2.4920558280593212,1.8425350740660824,0.5243172849148641,1.1054513607317125,1.8763443034144676,0.931792089296797,1.958932320128543
524,524,-0.058525212051022714,-0.032011056563005486,-0.021333575337771377,0.0027818887002226036,-0.11784909246950058,0.0017234722617790494,0.02002912985067459,0.029348472029824095,-0.09603571974481605,-0.14221158376166007,-0.05997126272682556,-0.03905443798776996,-0.49194429770474746,-0.24868648793151538,0.08944399471503169,-0.7121486388901414,0.1648539009047646,0.2575479876740295,-0.766288553384342,-0.19248751026250505,-0.06755323074135172,0.38375720132080215,0.2371155937003338,2.5977854416477744,2.535119203768314,1.8976584751056722,0.5239975494707663,1.0358738057065329,1.896176858386483,0.9942556110875934,1.9590816862607647
525,525,-0.05979402329008433,-0.03332078066703588,-0.023691560499337024,0.005900597602854518,-0.10833372558564548,0.0017234722617790494,0.01945909291997462,0.0358187615624178,-0.09446273045089908,-0.14110861092703741,-0.0583744697567068,-0.028862694030685344,-0.4938399320981135,-0.22460777034913051,0.0393864179254259,-0.6482671848280683,0.21400339243996502,0.2575479876740295,-0.636139755390647,-0.20789984331000935,-0.11293124518519247,0.34517968302918023,0.2371155937003338,2.5149381659940078,2.516145519931392,1.899917048484382,0.42313549165892883,1.0289498373872756,1.8924499926264338,0.9942556110875934,1.867947737678814
