,sent_no,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
2130,2130,0.00221912601905228,-0.0067988675604203986,-0.03034949103930512,0.0714908349504418,0.09612292224279406,-0.012372649950512665,-0.02486212583457568,-0.05955496283665613,-0.040709159571214626,-0.08844638510023894,-0.06474248275195196,-0.11726903873911043,0.4251036497138893,0.13135015964719343,-0.18322179301823355,1.4896324972332193,0.5724030191712235,0.4609868744344713,-0.0538572435220275,0.029064777295370988,-0.43057734629207833,-0.4842369602406926,-0.02338645616770168,0.314066949885393,0.30558282767887274,-0.3837056738063329,-0.6652874952202449,1.8901703561998973,0.41073745251977256,-0.8171865208455021,-1.5040788588468346
2131,2131,-0.00047709786395365233,-0.009582031281484972,-0.033137899810130655,0.05923876426153069,0.0927112288616666,-0.009876172844298639,-0.02591835513638281,-0.05533224756275288,-0.039688120984895305,-0.09693162264594023,-0.06352899393633119,-0.11808634028316288,0.33382257766991275,0.07628602552299013,-0.2855010811791957,1.4365775834409704,0.4024570789819365,0.48811174651659545,-0.0538572435220275,0.005946277724114401,-0.4759553607359191,-0.5035257193865037,0.0055582160398577754,0.3139956967854466,0.282999990816619,-0.4118365406725715,-0.5664895137580878,1.8117345148974655,0.410825408385894,-0.8171865208455021,-1.4556053863415308
2132,2132,0.0003159091604598572,-0.00876345371646598,-0.033137899810130655,0.061466413477696345,0.09439055980056353,-0.009876172844298639,-0.02810829307496455,-0.04993972603053858,-0.0414577339405519,-0.09083690989691096,-0.06493294735035046,-0.12275580432407163,0.30292571461877876,0.04470576003892511,-0.3248138343660939,1.4831295367061401,0.43238662661289773,0.45610899522586346,-0.04323063866465708,0.015578985878804493,-0.4759553607359191,-0.5421032376781256,0.0055582160398577754,0.3966966971273672,0.3274244904343824,-0.3304612364913825,-0.6728439714966269,1.8116108175850913,0.4113875565093541,-0.6922594772639096,-1.543157781629241
2133,2133,-0.002856118937194182,-0.012037763976541948,-0.036751208817895474,0.05450500967717867,0.10551959957156923,0.0019512222840699968,-0.0338838970604417,-0.05276622093161898,-0.040228836054679265,-0.08890153021689345,-0.06241418759220242,-0.11738222261735368,0.35172509570733523,0.05634855794644333,-0.4258987536849227,1.4999238360572786,0.49020258663185273,0.5319898740974965,-0.10143495056541504,-0.022951846739956396,-0.5213333751797602,-0.6385470334071806,0.15028157707765505,0.3958782237900801,0.34902487474291105,-0.24802721851204082,-0.6766326771276086,1.8112980674782142,0.3259911038349931,-0.6922594772639096,-1.586795696585022
2134,2134,-0.013958217278983316,-0.02349784988680783,-0.04263703182446152,0.04805596519637909,0.09391327627056126,-0.01062543170854816,-0.041477562760170006,-0.06092081058436154,-0.04996170731079053,-0.0893553247545668,-0.07006241349734708,-0.12147471514682658,0.24130704102766778,-0.05651181481201124,-0.5060833010832574,1.3847249412022746,0.41217104051334735,0.3880093593853694,-0.10143495056541504,-0.15780976090561977,-0.6120894040674416,-0.7735683474278575,0.0055582160398577754,0.3127424074703318,0.3224835674840327,-0.30600820211679414,-0.6785899690511319,1.8108071557841154,0.30590953346773037,-0.7547229990547059,-1.5508047944169407
2135,2135,-0.01760604959128546,-0.02726330668589519,-0.04530992952318811,0.04371204922485607,0.09280214001023847,-0.015605755042523626,-0.04366750069875174,-0.06278274454231844,-0.05939964307429237,-0.0905528381178714,-0.07787780770939211,-0.12309577424799192,0.17398440258993356,-0.12532355118255303,-0.5650524308636046,1.3604260560934527,0.3264121955446164,0.29200110551317243,-0.16348095552654995,-0.17322209395312407,-0.6574674185112824,-0.8121458657194794,-0.05233112837526114,0.3127886870999063,0.3642601038609962,-0.3085746152309201,-0.6650350544934659,1.8095085317265711,0.22823639049456546,-0.7547229990547059,-1.5098113089246308
2136,2136,-0.02490171421588975,-0.03479422028406991,-0.04770485933929163,0.0425425333863691,0.07868818419445658,-0.03449013644475202,-0.0469253448959466,-0.0643317484233078,-0.07311414348063099,-0.08850220903146068,-0.07291104902984613,-0.11833895500230546,0.11683370407146261,-0.1837383562333472,-0.5904287039280077,1.2480076624935685,0.3089226148258544,0.14404501446904794,-0.20463761916587292,-0.261843008976274,-0.7028454329551235,-0.8700121431569124,-0.2838885060357372,0.3147436867360321,0.38998228986564537,-0.2783254931140071,-0.648697581280855,1.73349918055635,0.3242078637687796,-0.6922594772639096,-1.508651140846003
2137,2137,-0.024743112811007047,-0.034630504771066106,-0.04505963304116601,0.04421327029849335,0.0820544220012981,-0.037252776414191426,-0.04516631515600339,-0.06480666583423501,-0.06212779638092963,-0.08846574339896908,-0.06624999884374273,-0.11973381308621248,0.10277510385764271,-0.19810791622239812,-0.5963214085346639,1.2890444762067905,0.33423553169237913,0.09240079664328765,-0.20463761916587292,-0.26954917550002655,-0.7028454329551235,-0.8507233840111015,-0.31283317824329665,0.3127867801974163,0.3885270150131813,-0.22766709741530822,-0.6289381351394076,1.7331666994045063,0.324383576260578,-0.5673324336823169,-1.4980366113127535
2138,2138,-0.02315709876218003,-0.034630504771066106,-0.04505963304116601,0.0438791229160685,0.08317313419066855,-0.037252776414191426,-0.043497474187599715,-0.06528158324516224,-0.054385739699932024,-0.08860890477097315,-0.05677561855388283,-0.11878533600966976,0.13246441762826391,-0.16776190959498719,-0.5963214085346639,1.3164856439802695,0.3387493539393092,0.09240079664328765,-0.20463761916587292,-0.27918188365471663,-0.7028454329551235,-0.8314346248652905,-0.31283317824329665,0.31277273665511923,0.4086470615001003,-0.19221491645480757,-0.6161953109489298,1.733099841781582,0.3243990759951387,-0.5673324336823169,-1.5056033601234935
2139,2139,-0.022205490332883816,-0.03364821169304332,-0.041990680364340054,0.04955962841729091,0.08237261102129964,-0.037197257960098463,-0.042190476694201895,-0.06551904195062584,-0.047196687067577105,-0.0886080043849857,-0.053290536725293366,-0.11901355878904535,0.14106374703634883,-0.12647117533547028,-0.5609434977579143,1.2910266498626313,0.4266497532521592,0.12989665918765292,-0.13405452333257278,-0.26762263386908824,-0.6574674185112824,-0.8121458657194794,-0.31283317824329665,0.39583806462227383,0.4288665598545848,-0.13868483573655205,-0.5983811151143728,1.7324512739578468,0.4222480652257796,-0.44240539010072427,-1.3839900625334642
