,baseline_sentimentr_roll100_stdscale,baseline_syuzhet_roll100_stdscale,baseline_bing_roll100_stdscale,baseline_sentiword_roll100_stdscale,baseline_senticnet_roll100_stdscale,baseline_nrc_roll100_stdscale,baseline_afinn_roll100_stdscale,baseline_vader_roll100_stdscale,baseline_textblob_roll100_stdscale,baseline_pattern_roll100_stdscale,baseline_stanza_roll100_stdscale,sentimentr_jockers_rinker_roll100_stdscale,sentimentr_jockers_roll100_stdscale,sentimentr_huliu_roll100_stdscale,sentimentr_senticnet_roll100_stdscale,sentimentr_sentiword_roll100_stdscale,sentimentr_nrc_roll100_stdscale,sentimentr_lmcd_roll100_stdscale,syuzhetr_syuzhet_roll100_stdscale,syuzhetr_bing_roll100_stdscale,syuzhetr_afinn_roll100_stdscale,syuzhetr_nrc_roll100_stdscale
0,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,
171,0.6311762189413609,0.6765377519500865,0.7156526751720532,-0.14610336566054985,1.1421863263788572,0.14153263863077942,1.1770815059016502,1.0814006645747558,0.47170141871052457,0.7678263324174467,3.045616591223468,,,,,,,,,,,
172,0.6100759421967078,0.6550187491587477,0.6919981241186411,-0.14610336566054985,1.1409767983398589,0.14153263863077942,1.1465021400829651,1.0480900587709152,0.4233027415518921,0.7445334205955575,3.031509683036459,,,,,,,,,,,
173,0.5950043159505269,0.6396480328792202,0.672562554146142,-0.08716699236284377,1.1443551352763721,0.09182583159202791,1.1307633691820402,1.0210386282047867,0.402007323602094,0.7209966747908049,3.045913433057644,,,,,,,,,,,
174,0.525674835218095,0.5894370263660964,0.639701295021149,-0.09470021300991899,1.0428590496590207,0.09204889437045974,1.1180066070001655,0.9951481241547797,0.3346793860436413,0.6408958196401692,3.0332926930758335,,,,,,,,,,,
175,0.4372546279071673,0.49926215752620107,0.5966826080566668,-0.09425708238362024,1.0346634544982196,0.047343939341847566,1.0638930465943979,0.9359900115793068,0.3333887546527441,0.6389513837037122,2.9151136730533174,,,,,,,,,,,
176,0.4221830016609864,0.4838914412466736,0.5658806921262045,-0.09957464989920288,1.016124309210809,0.019223565156869807,1.0192093217465614,0.9000012895795458,0.24046329450817022,0.5724549577998835,2.9096474894529583,,,,,,,,,,,
177,0.35687262126086944,0.41728500403538704,0.5090675378755861,-0.19794964893747907,0.8662679559652183,-0.08103166703491164,0.9754168399662881,0.8942580816823317,0.30651525619701475,0.5618829098616062,2.8173176123747656,0.17489223999138423,0.09873742293141033,0.2759321828780802,-0.5307257837284137,-0.9664848929856511,-1.0569939656859542,-0.6393400270988153,0.5766310963116017,0.65834287325723,1.2519870531237527,0.08354585270703865
178,0.3649108219254992,0.4254827193844684,0.48809931096246967,-0.21330961995848963,0.9206967177201574,-0.1300050739348368,0.9741548453760831,0.9152591809342829,0.2890917324199071,0.5636365241944166,2.835036070492277,0.1491254377109387,0.0713799580607137,0.25006235234238683,-0.4734487206686582,-0.9787681592857046,-1.1051480053786,-0.6393400270988153,0.5591528694081647,0.6389703988031682,1.2335491787456665,0.009416884008622157
179,0.40510182524864813,0.4664712961298754,0.48809931096246967,-0.19381187240135386,0.8987375276328202,-0.15419368248324278,1.0024727072715338,0.9641777987881992,0.2503727906930014,0.5252483162473514,2.7917408598194844,0.1491254377109387,0.0713799580607137,0.25006235234238683,-0.5209314921121341,-0.9315473291699002,-1.1051480053786,-0.6393400270988153,0.5591528694081647,0.6389703988031682,1.2335491787456665,0.009416884008622157
180,0.37093947242397163,0.4316310058962797,0.47152750865768667,-0.3205472315227367,0.8834098878282679,-0.12985330268460346,0.9176885846053436,0.9015123367910048,0.21484816165856535,0.47312589425061147,2.7515995063139913,0.103155397067766,0.03708230027464433,0.2130326179552737,-0.5248471458376467,-0.9454334231290573,-1.0861810612985097,-0.5974392782061206,0.507810577879318,0.5808529754409827,1.1597976812333217,0.034126540241427576
181,0.4412737282394823,0.4931138710143902,0.5034033246808972,-0.40527380727101786,0.9070791003155688,-0.060111677745298984,0.9247727671304946,0.9272308517275126,0.21484816165856535,0.4905300252744687,2.8200248931617833,0.08971532230739362,0.03693870832515862,0.19808879043536518,-0.5481035451893994,-1.0176295865880667,-1.0610367241252334,-0.5500687242879557,0.4881475726129515,0.5614805009869209,1.122921932477149,0.058836196474232993
182,0.4613692299010568,0.5033610152007418,0.5342052406113598,-0.3680508346619404,0.929455369037044,-0.031991303560320976,0.9351949731649194,0.9373290696772665,0.27099062716257843,0.5260556905095995,2.8209987516334056,0.10041110373508517,0.048294772670588994,0.19808879043536518,-0.5396665571609266,-0.9704333247987725,-1.0610367241252334,-0.5500687242879557,0.49360951852027557,0.5614805009869209,1.122921932477149,0.058836196474232993
183,0.46237400498413556,0.5043857296193771,0.5179649514489526,-0.3345944723764004,0.9042638195351412,-0.0972693913958049,0.9187819792025036,0.8755296957159092,0.269269017075079,0.5201214788157505,2.7850498451761654,0.1388663398958165,0.08912396679841239,0.1992009626967458,-0.6170345431720883,-0.953158456386252,-0.9748197236806353,-0.5977469592271945,0.5394898641417979,0.5421080265328592,1.132140869666192,0.20709413387106576
184,0.48045995647955264,0.5023363007821068,0.5179649514489526,-0.3611823099543129,0.9374007170173626,-0.12182307248147108,0.8887907256616973,0.877906830963205,0.2563223709351442,0.5019678381018428,2.757060122533926,0.16554911137401865,0.11745394641414915,0.22001064668163367,-0.5960604900978624,-0.9582776091449441,-0.9748197236806353,-0.44098929594513525,0.5427670316861924,0.5227355520787973,1.122921932477149,0.20709413387106576
185,0.4915124823934184,0.5136081593870937,0.5546683688700396,-0.5148600111546471,0.8869133483550221,-0.14422226370086622,0.9160238008453527,0.9341288436725089,0.27737579549914937,0.52508908323138,2.6600684120912637,0.22802707679238182,0.1466579903477647,0.23056647187369123,-0.6022901321510781,-0.9704012272511002,-0.9969978501327347,-0.390984250214372,0.5810006530374611,0.5033630776247355,1.1597976812333217,0.18238447763826035
186,0.4814647315626312,0.5033610152007418,0.5181439050777787,-0.551639853137426,0.8588648102092779,-0.16858290319279987,0.8943421980237869,0.8995160345807439,0.2618882188083864,0.523379035042439,2.6587098972498415,0.2132736354115586,0.13099377443518107,0.21162078732902945,-0.6371512382816629,-1.0013744016613115,-1.0165806364824717,-0.469965643723617,0.5471365884120517,0.46461812871661196,1.0768272465319335,0.1329651651726495
187,0.5688801637904802,0.5925111696220021,0.5845359880393688,-0.5435748757387925,0.8663930795554597,-0.08442913224569419,0.965148193501291,0.9580169030439153,0.27455253933156204,0.5519198953135369,2.5697135143910415,0.20364742829999719,0.12077331246142466,0.19243520449140883,-0.6319560711354436,-1.028748228433468,-1.0507666163653875,-0.469965643723617,0.5307507506900795,0.4452456542625501,1.0583893721538473,0.058836196474232993
188,0.5759135893720312,0.5996841705524485,0.5537340721089063,-0.5675039295589138,0.871585708550471,-0.05930844406106166,0.9518083672896672,0.9511864782506515,0.27455253933156204,0.5519198953135369,2.589006589313566,0.21113447529938126,0.12872255750322592,0.19243520449140883,-0.6602704205770958,-1.021551164291613,-1.0222783040430778,-0.469965643723617,0.5383974749603331,0.4452456542625501,1.0583893721538473,0.058836196474232993
189,0.5759135893720312,0.5996841705524485,0.5537340721089063,-0.55952757828554,0.8744635511260193,-0.05930844406106166,0.9518083672896672,0.9511864782506515,0.2551930684681092,0.5411826928320458,2.5824671617732973,0.17383700887509823,0.08912260573727988,0.18363225846804265,-0.6991152742564122,-1.032645595781997,-1.0876349772192593,-0.5289095541857611,0.49907146442759964,0.46461812871661196,1.0307325605867181,-0.11413139715540518
190,0.5558180877104567,0.579189882179745,0.5537340721089063,-0.5555394026488532,0.8907504717890877,-0.05930844406106166,0.9327000483742629,0.9219053316773691,0.2551930684681092,0.5411826928320458,2.5667327293010542,0.16992468754331796,0.0810592672067481,0.14978200014776008,-0.6492750106393116,-1.059861053939488,-1.1121538136556273,-0.5289095541857611,0.5023486319719942,0.4839906031706737,1.012294686208632,-0.1388410533882106
191,0.5558180877104567,0.579189882179745,0.5537340721089063,-0.5768096727111832,0.8529840014679407,-0.05930844406106166,0.9327000483742629,0.896014827627362,0.25043386521417715,0.5350900818357803,2.520822358785101,0.16603932392703213,0.0769340483501153,0.1672054459390748,-0.6837666191153695,-1.0341525037976251,-1.177479986408879,-0.5230762483502007,0.532935529053009,0.5614805009869209,1.0583893721538473,-0.1388410533882106
192,0.5357225860488822,0.5586955938070415,0.5526153462965336,-0.5555394026488533,0.813945441312674,-0.11057685439799037,0.9401498077942357,0.8938772486452972,0.3627187962222034,0.6298600562689837,2.518690051890919,0.14990114528071238,0.05979961115498169,0.1566024733536049,-0.7027159941777017,-1.0461927471348746,-1.1932241416485856,-0.47148336057659485,0.5132725237866423,0.5421080265328592,1.0215136233976752,-0.16355070962101603
193,0.5226605099688589,0.5453743063647841,0.5348711405152278,-0.5185443257904435,0.80750157641525,-0.06255790532340041,0.9469089373043152,0.8891782603657584,0.3612668359074446,0.628001293592157,2.5191584704604026,0.16668024004935444,0.07761453016196991,0.165972552326409,-0.6783483550605002,-0.991610402124262,-1.0943749464090646,-0.3443603405531356,0.5755387071301372,0.6002254498950446,1.122921932477149,0.009416884008622157
194,0.5226605099688589,0.5453743063647841,0.5348711405152278,-0.5079091907592785,0.784645667264517,-0.08958413307146847,0.9469089373043152,0.8891782603657584,0.38304624062882914,0.6400806463838346,2.5191584704604026,0.14528867719397126,0.05490240147110911,0.12760138665116785,-0.6804508632265316,-1.0050033905209512,-1.1394189239706345,-0.3443603405531356,0.564614815315489,0.5808529754409827,1.104484058099063,-0.015292772224183264
195,0.5317034857165674,0.5545967361325007,0.5332921135330164,-0.5003759701122035,0.7787857124548854,-0.0949491102185601,0.9560404060371844,0.8998108730610285,0.35400703433364955,0.6065737065232458,2.4460936708577234,0.10941393603776009,0.016813004104513772,0.0847011196699744,-0.6819888261980604,-1.0313869026666544,-1.2031207262465706,-0.3443603405531356,0.5482289775935167,0.5614805009869209,1.0860461837209767,-0.04000242845698868
196,0.5487846621289058,0.5720168812492988,0.5605759352172356,-0.5003759701122035,0.7946972623472298,-0.06762078327641162,0.9435954063779155,0.8789264807075229,0.2610815741890757,0.5515165592396464,2.446041977787661,0.08288096791202866,-0.01135792434499277,0.0847011196699744,-0.6597795745681895,-1.0269964211440792,-1.2031207262465706,-0.3443603405531356,0.5263811939642201,0.5614805009869209,1.0676083093428905,-0.04000242845698868
197,0.5598371880427717,0.5525473072952304,0.6188351073630817,-0.4161811511154805,0.7179339397342299,-0.11363483282308755,0.9506788319936056,0.8392584201725417,0.25181668456156636,0.49418518516808224,2.3678637368910134,0.0919205531695233,-0.0017602981655403986,0.11713067558880101,-0.670297057386028,-1.023542654771091,-1.2031207262465706,-0.3443603405531356,0.5318431398715444,0.5808529754409827,1.0860461837209767,-0.04000242845698868
198,0.49050770731033977,0.5023363007821068,0.5891033297253855,-0.4347926374200192,0.6090138544292313,-0.2495971151047695,0.9450291898235627,0.8328886805047225,0.2561725655058433,0.5010425197931445,2.2645700291647093,0.0896003126705456,-0.004223774123925916,0.13794035957368883,-0.7111541715642059,-0.9928277382189372,-1.2340206359187216,-0.2746902807503111,0.5296583615086147,0.6002254498950446,1.113702995288106,-0.0647120846897941
199,0.4684026554826079,0.4797925835721328,0.5443891626866636,-0.46049421374533467,0.5894737204198909,-0.3265736042827218,0.9177052432488164,0.8338960453123619,0.2068059148040382,0.48009821335992703,2.2501047929568965,0.14218725894468837,0.05160952329862104,0.1904769188444115,-0.6201926537551107,-0.9455657244960137,-1.1350650586693998,-0.18963846795014586,0.5373050857788685,0.6195979243491064,1.132140869666192,-0.0647120846897941
200,0.3900301990024674,0.3998648589185893,0.4945474569677899,-0.49151335758623266,0.5713933616300316,-0.3959800226202384,0.8511929535861676,0.7756408755827611,0.1789282767606664,0.4017020988224863,2.3291812771382974,0.08706777597666286,-0.006912651963036964,0.13554875549002124,-0.6612530866381251,-0.9667349090566507,-1.184002133655982,-0.2264179695159706,0.4389900594470346,0.5227355520787973,1.0307325605867181,-0.1388410533882106
201,0.3900301990024674,0.3998648589185893,0.4945474569677899,-0.49151335758623266,0.556378530801083,-0.3959800226202384,0.8511929535861676,0.7756408755827611,0.1789282767606664,0.4017020988224863,2.3272473883232907,0.09841942420547109,0.005139767823635883,0.14943196828940716,-0.6885567083463701,-0.93922317883253,-1.1668230316182078,-0.2264179695159706,0.44335961617289393,0.5227355520787973,1.0583893721538473,-0.11413139715540518
202,0.3900301990024674,0.3998648589185893,0.4945474569677899,-0.5181011951641451,0.5586307554254254,-0.3959800226202384,0.8511929535861676,0.7756408755827611,0.1789282767606664,0.4017020988224863,2.330454937029721,0.12915401331562504,0.03777169602120012,0.18186152420823368,-0.6544674801984798,-0.9823072768692614,-1.1186689919255615,-0.2264179695159706,0.461930232257796,0.5421080265328592,1.0491704349648043,-0.08942174092259952
203,0.4121352508301995,0.4224085761285631,0.5152076129134063,-0.5207599789219364,0.5957298999319525,-0.37065400842092433,0.8682218404064481,0.8015313796327682,0.19867493704138842,0.42954857217289016,2.3496261158152585,0.19186497417621054,0.04684196992338431,0.2485546996798133,-0.6549694918185599,-0.892140674304884,-1.095980817882999,-0.23348974963090602,0.4597454538948662,0.6002254498950446,1.0399514977757611,-0.1388410533882106
