,baseline_sentimentr_roll100_stdscale,baseline_syuzhet_roll100_stdscale,baseline_bing_roll100_stdscale,baseline_sentiword_roll100_stdscale,baseline_senticnet_roll100_stdscale,baseline_nrc_roll100_stdscale,baseline_afinn_roll100_stdscale,baseline_vader_roll100_stdscale,baseline_textblob_roll100_stdscale,baseline_pattern_roll100_stdscale,baseline_stanza_roll100_stdscale,sentimentr_jockers_rinker_roll100_stdscale,sentimentr_jockers_roll100_stdscale,sentimentr_huliu_roll100_stdscale,sentimentr_senticnet_roll100_stdscale,sentimentr_sentiword_roll100_stdscale,sentimentr_nrc_roll100_stdscale,sentimentr_lmcd_roll100_stdscale,syuzhetr_syuzhet_roll100_stdscale,syuzhetr_bing_roll100_stdscale,syuzhetr_afinn_roll100_stdscale,syuzhetr_nrc_roll100_stdscale
2050,-0.8870389315905934,-0.851311446234964,-0.8762606166898964,-1.010640936938473,-1.2539304267408737,-0.6546831133457832,-0.17901436694697595,0.02672656578606512,0.812674720856229,0.2094719613359816,0.5661444894414498,-0.028141676920143764,0.31585703665870635,-0.03546634335089299,0.19369187984383046,0.010617985193530985,0.09426493586976016,0.9847050213181805,-0.40433438864381466,-0.6202404407108494,-0.09397777647654085,-0.435356928181876
2051,-0.9101487585014041,-0.8748798778635731,-0.9271563272483374,-0.9441713429936918,-1.2626890780577606,-0.6784470956838378,-0.19891812649932444,-0.02067486238805234,0.7907339872109823,0.16876497205969238,0.61296905607354,-0.013378579015661115,0.33153150522134395,-0.03921098581892323,0.16060535433856135,-0.009577832664582469,0.1146658457401631,0.9847050213181805,-0.4087039453696739,-0.6396129151649113,-0.04788309053132537,-0.41064727194907047
2052,-0.9463206614922381,-0.9117695969344393,-0.9271563272483374,-0.9229010729313618,-1.3584920403191358,-0.6762742714551455,-0.2303956683011744,0.018851921375125827,0.7878300665814642,0.16555541581358993,0.5900139061503613,0.025838076044606324,0.3731691229389177,-0.0018479420975264242,0.1518205508575342,-0.021861229320292944,0.1323335406013941,1.0301243530313715,-0.34534537284471434,-0.5814954918027256,-0.020226278964196084,-0.38593761571626506
2053,-0.9312490352460572,-0.8963988806549118,-0.865989491506665,-0.8564314789865806,-1.2869422006328541,-0.6777261499989536,-0.2303956683011744,-0.013168766077469056,0.7805702650076697,0.16543301809979863,0.5767507665394171,0.01898801903587238,0.3658961912053231,-0.013018219233502189,0.09876073606200832,-0.003358881724619751,0.1323335406013941,1.0301243530313715,-0.414165891276998,-0.6396129151649113,-0.07553990209845465,-0.435356928181876
2054,-0.8930675820890658,-0.8574597327467751,-0.8217795612388139,-0.8378199926820419,-1.2999759079496498,-0.627672690436368,-0.2142015710338501,-0.024464765353379513,0.8347767834253373,0.20656371569214205,0.5984529368654674,-0.06819922538985541,0.2733266146397497,-0.08809292282583843,0.06962012114044526,-0.03919295947818988,0.1323335406013941,1.0301243530313715,-0.4764320746204928,-0.7171028129811583,-0.11241565085462712,-0.48477624064748687
2055,-0.9121583086675615,-0.8769293067008433,-0.8404896961232692,-0.8555452177339834,-1.3589091189532734,-0.6553582736630996,-0.2142015710338501,-0.024464765353379513,0.9044708785337678,0.23099478356880276,0.6303636710018292,-0.06819922538985541,0.2733266146397497,-0.08809292282583843,0.05899108474173853,-0.03215735567648741,0.17480140453856458,1.0301243530313715,-0.4764320746204928,-0.7171028129811583,-0.11241565085462712,-0.46006658441468146
2056,-0.9292394850799,-0.8943494518176416,-0.8712916120537316,-0.8661803527651485,-1.3820152752844888,-0.7115990220330551,-0.24399072093240767,-0.057713946473827514,0.866719910350035,0.19359054399789907,0.6288034014206865,-0.07723881064735005,0.27652582336623377,-0.09890277765879839,0.07442350042213637,-0.05450848781035628,0.17159113565040007,1.0952681322992677,-0.444752788358013,-0.7171028129811583,-0.09397777647654085,-0.46006658441468146
2057,-0.9272299349137424,-0.892300022980371,-0.891951767999348,-0.8218672901352942,-1.3494622878900597,-0.7115990220330551,-0.24399072093240767,-0.07014015992416316,0.7970258152416044,0.16574407064749555,0.6136905206379843,-0.09435206667161516,0.25835611431924155,-0.1372739433340396,0.11087678887084848,-0.10170474959965072,0.2855443849396382,1.0952681322992677,-0.45349190180973153,-0.7364752874352203,-0.13085352523271332,-0.41064727194907047
2058,-0.9332585854122147,-0.8984483094921821,-0.873824587315729,-0.8418967944439885,-1.4082912292351488,-0.6872978422562932,-0.28056858154200376,-0.11068659343165957,0.8053503877128891,0.18480654291858334,0.6125639679642011,-0.12424768430179114,0.22661494984707883,-0.18017421031523306,0.09035523628741425,-0.13362879929595134,0.22821276289129588,1.0234538710085288,-0.480801631346352,-0.7752202363433439,-0.17694821117792878,-0.435356928181876
2059,-0.9433063362430021,-0.908695453678534,-0.8907059796646092,-0.875131591416379,-1.400700398093847,-0.6872978422562932,-0.29375689105458386,-0.12236342574460463,0.798816566296474,0.17677543322026526,0.569339342300818,-0.12424768430179114,0.22661494984707883,-0.18017421031523306,0.03956352315637248,-0.13981469866044263,0.22821276289129588,1.0234538710085288,-0.480801631346352,-0.7752202363433439,-0.17694821117792878,-0.435356928181876
2060,-0.9734495887353637,-0.9394368862375891,-0.8907059796646092,-0.9225465684303229,-1.3821195449430232,-0.6641889987161266,-0.32387345323198524,-0.1659503810800379,0.7831138843738951,0.1635800093533112,0.6207620274600616,-0.09338416615522059,0.24142825166964454,-0.14983913981101568,0.0775936399262124,-0.10982113687988584,0.30140922961393707,1.0234538710085288,-0.45895384771705566,-0.755847761889282,-0.14007246242175642,-0.38593761571626506
2061,-1.026702668138536,-0.9937467504252533,-0.9374668704729214,-0.933181703461488,-1.4004710048450715,-0.7418672548628228,-0.3961468298912056,-0.17623901554830884,0.7366511543016079,0.12028500152820956,0.6266817858772493,-0.07530499946687036,0.26062349996568024,-0.14983913981101568,0.10782023100814521,-0.06541164939108865,0.34956326930658294,1.0234538710085288,-0.44802995590240746,-0.755847761889282,-0.13085352523271332,-0.36122795948345965
2062,-1.0940225987048104,-1.0419083281011066,-1.0192579154720238,-0.9863573786173129,-1.4448481715172976,-0.7925192832614507,-0.48844480948658137,-0.24648428347615742,0.655341376675106,0.0697427334931879,0.6215817252758676,-0.07052170064604218,0.2657020862812263,-0.14983913981101568,0.09815753775679618,-0.12960255714438257,0.34956326930658294,1.0234538710085288,-0.44366039917654815,-0.755847761889282,-0.11241565085462712,-0.36122795948345965
