,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
0,1,"0,Letter",0.0,0,0,0,8,1,,-0.017153128825388705,0.0,0.01178972882095447,0.0,0.13684250523714162,0.0,0.11154909885631208,0.0,-0.010947724594408903,0.0,-0.0038565088338550456,0.0,-0.09008027670569631,0.0,-0.06813714933411515,0.0,,,,,,,,,,,,,,,,,
1,2,"1,""_To Mrs. Saville, England._""",0.0,0,0,0,31,4,mrs saville england,-0.017153128825388705,0.0,0.01178972882095447,0.0,0.13684250523714162,0.0,0.11154909885631208,0.0,-0.010947724594408903,0.0,-0.0038565088338550456,0.0,-0.09008027670569631,0.0,-0.06813714933411515,0.0,,,,,,,,,,,,,,,,,
2,3,"2,""St. Petersburgh, Dec. th, .""",0.0,0,0,0,31,5,petersburgh december th,-0.017153128825388705,0.0,0.01178972882095447,0.0,0.13684250523714162,0.0,0.11154909885631208,0.0,-0.010947724594408903,0.0,-0.0038565088338550456,0.0,-0.09008027670569631,0.0,-0.06813714933411515,0.0,,,,,,,,,,,,,,,,,
3,4,"3,You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.",-0.4,-1,-2,-1,145,23,will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings,-0.2855515498262262,-0.24427480916030536,-0.17620408061522552,-0.20761159175352126,-0.44947224957786985,-0.5,-0.2927128573474468,-0.5008862165694349,-0.5858346384960093,-0.5,-0.3479000625293912,-0.5143472352822128,-0.6237327462870956,-0.5,-0.44162337176324423,-0.4249416861046318,,,,,,,,,,,,,,,,,
4,5,"4,""I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.""",2.55,3,6,4,149,26,arrived here yesterday and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking,1.6938868050549503,1.5572519083969465,1.0720195217441164,1.1708683152569912,1.8957867696821762,1.5,1.1844519376392983,1.3293416197534826,1.7137130171103923,1.5,0.9092279399013568,1.365066883949679,2.0445296016199013,2.0,1.253495757716136,1.5037152168039334,,,,,,,,,,,,,,,,,
5,6,"5,""I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.""",0.2,1,2,0,183,35,am already far north of london and as i walk in the streets of petersburgh i feel a cold northern breeze play upon my cheeks which braces my nerves and fills me with delight,0.11704608167503006,0.12213740458015268,0.07356832857997336,0.06822540311694553,0.7231572600521531,0.5,0.37724654565004223,0.3292028518498342,0.5639391893071914,0.5,0.2222629476224228,0.33804998240056316,-0.09008027670569631,0.0,-0.06813714933411515,0.0,,,,,,,,,,,,,,,,,
6,7,"6,Do you understand this feeling?",0.25,0,1,0,33,5,you understand this feeling,0.15059588430013474,0.15267175572519084,0.5514276473746598,0.5959509389032591,0.13684250523714162,0.0,0.11154909885631208,0.0,0.27649573235639124,0.25,0.7862075800418223,1.181150687010351,-0.09008027670569631,0.0,-0.06813714933411515,0.0,,,,,,,,,,,,,,,,,
7,8,"7,""This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.""",0.1,1,0,0,125,21,breeze which has travelled from the regions towards which i am advancing gives me a foretaste of those icy climes,0.049946476424820675,0.06106870229007634,0.06326209382721935,0.05684367832280491,0.7231572600521531,0.5,0.55429386859684,0.5485669606502949,-0.010947724594408903,0.0,-0.0038565088338550456,0.0,-0.09008027670569631,0.0,-0.06813714933411515,0.0,,,,,,,,,,,,,,,,,
8,9,"8,""Inspirited by this wind of promise, my daydreams become more fervent and vivid.""",2.35,3,3,2,83,13,by this wind of promise my daydreams become more fervent and vivid,1.5596875945545317,1.435114503816794,1.965187740840032,2.157241623113765,1.8957867696821762,1.5,2.2565301009120753,2.6576614550183004,0.8513826462579915,0.75,0.9088770235106055,1.3645422617805978,0.9772246624571025,1.0,1.2529878280823736,1.5031373093416722,,,,,,,,,,,,,,,,,
9,10,"9,I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.",-0.25,-1,6,1,161,31,try in vain to be persuaded that the pole is the seat of frost and desolation it ever presents itself to my imagination as the region of beauty and delight,-0.18490214195091215,-0.15267175572519084,-0.07539459791087602,-0.09628230260900768,-0.44947224957786985,-0.5,-0.18842083381858288,-0.3716669410919928,1.7137130171103923,1.5,0.7620037462968403,1.1449658062409271,0.4435721928757031,0.5,0.20899661326163652,0.3153146790476484,,,,,,,,,,,,,,,,,
